pruid,prname,prnameFR,date,numconf,numdeaths,numtested,numrecover,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday,percentactive
35,Ontario,Ontario,31-01-2020,3,0,,,3,0,,,100
59,British Columbia,Colombie-Britannique,31-01-2020,1,0,,,1,0,,,100
1,Canada,Canada,31-01-2020,4,0,,,4,0,,,100
35,Ontario,Ontario,08-02-2020,3,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,08-02-2020,4,0,,,3,0,,,100
1,Canada,Canada,08-02-2020,7,0,,,3,0,,,100
35,Ontario,Ontario,16-02-2020,3,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,16-02-2020,5,0,,,1,0,,,100
1,Canada,Canada,16-02-2020,8,0,,,1,0,,,100
35,Ontario,Ontario,21-02-2020,3,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,21-02-2020,6,0,,,1,0,,,100
1,Canada,Canada,21-02-2020,9,0,,,1,0,,,100
35,Ontario,Ontario,24-02-2020,4,0,,,1,0,,,100
59,British Columbia,Colombie-Britannique,24-02-2020,6,0,,,0,0,,,100
1,Canada,Canada,24-02-2020,10,0,,,1,0,,,100
35,Ontario,Ontario,25-02-2020,4,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,25-02-2020,7,0,,,1,0,,,100
1,Canada,Canada,25-02-2020,11,0,,,1,0,,,100
35,Ontario,Ontario,26-02-2020,5,0,,,1,0,,,100
59,British Columbia,Colombie-Britannique,26-02-2020,7,0,,,0,0,,,100
1,Canada,Canada,26-02-2020,12,0,,,1,0,,,100
35,Ontario,Ontario,27-02-2020,6,0,,,1,0,,,100
59,British Columbia,Colombie-Britannique,27-02-2020,7,0,,,0,0,,,100
1,Canada,Canada,27-02-2020,13,0,,,1,0,,,100
35,Ontario,Ontario,29-02-2020,8,0,,,2,0,,,100
59,British Columbia,Colombie-Britannique,29-02-2020,7,0,,,0,0,,,100
1,Canada,Canada,29-02-2020,15,0,,,2,0,,,100
35,Ontario,Ontario,01-03-2020,15,0,,,7,0,,,100
59,British Columbia,Colombie-Britannique,01-03-2020,8,0,,,1,0,,,100
24,Quebec,Québec,01-03-2020,1,0,,,1,0,,,100
1,Canada,Canada,01-03-2020,24,0,,,9,0,,,100
35,Ontario,Ontario,03-03-2020,20,0,,,5,0,,,100
59,British Columbia,Colombie-Britannique,03-03-2020,12,0,,,4,0,,,100
24,Quebec,Québec,03-03-2020,1,0,,,0,0,,,100
1,Canada,Canada,03-03-2020,33,0,,,9,0,,,100
35,Ontario,Ontario,05-03-2020,22,0,,,2,0,,,100
59,British Columbia,Colombie-Britannique,05-03-2020,21,0,,,9,0,,,100
24,Quebec,Québec,05-03-2020,2,0,,,1,0,,,100
1,Canada,Canada,05-03-2020,45,0,,,12,0,,,100
35,Ontario,Ontario,06-03-2020,28,0,,,6,0,,,100
59,British Columbia,Colombie-Britannique,06-03-2020,21,0,,,0,0,,,100
24,Quebec,Québec,06-03-2020,2,0,,,0,0,,,100
1,Canada,Canada,06-03-2020,51,0,,,6,0,,,100
35,Ontario,Ontario,07-03-2020,28,0,,,0,0,,,100
59,British Columbia,Colombie-Britannique,07-03-2020,27,0,,,6,0,,,100
24,Quebec,Québec,07-03-2020,2,0,,,0,0,,,100
1,Canada,Canada,07-03-2020,57,0,,,6,0,,,100
35,Ontario,Ontario,08-03-2020,31,0,,,3,0,,,100
59,British Columbia,Colombie-Britannique,08-03-2020,27,1,,,0,1,,,96.3
24,Quebec,Québec,08-03-2020,3,0,,,1,0,,,100
48,Alberta,Alberta,08-03-2020,1,0,,,1,0,,,100
1,Canada,Canada,08-03-2020,62,1,,,5,1,,,98.39
35,Ontario,Ontario,09-03-2020,34,0,,,3,0,,,100
59,British Columbia,Colombie-Britannique,09-03-2020,32,1,,,5,0,,,96.88
24,Quebec,Québec,09-03-2020,4,0,,,1,0,,,100
48,Alberta,Alberta,09-03-2020,7,0,,,6,0,,,100
1,Canada,Canada,09-03-2020,77,1,,,15,0,,,98.7
59,British Columbia,Colombie-Britannique,11-03-2020,39,1,4373,,0,0,4373,,97.44
48,Alberta,Alberta,11-03-2020,14,0,1969,,0,0,1969,,100
47,Saskatchewan,Saskatchewan,11-03-2020,0,0,204,,0,0,204,,
46,Manitoba,Manitoba,11-03-2020,0,0,352,,0,0,352,,
35,Ontario,Ontario,11-03-2020,42,1,3394,,8,1,3394,,97.62
24,Quebec,Québec,11-03-2020,7,0,556,,3,0,556,,100
13,New Brunswick,Nouveau-Brunswick,11-03-2020,0,0,22,,0,0,22,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,11-03-2020,0,0,44,,0,0,44,,
12,Nova Scotia,Nouvelle-Écosse,11-03-2020,0,0,103,,0,0,103,,
11,Prince Edward Island,Île-du-Prince-Édouard,11-03-2020,0,0,6,,0,0,6,,
61,Northwest Territories,Territoires du Nord-Ouest,11-03-2020,0,0,0,,0,0,0,,
62,Nunavut,Nunavut,11-03-2020,0,0,0,,0,0,0,,
60,Yukon,Yukon,11-03-2020,0,0,0,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,11-03-2020,1,0,29,,1,0,29,,100
1,Canada,Canada,11-03-2020,103,2,11023,,26,0,11023,,98.06
59,British Columbia,Colombie-Britannique,12-03-2020,46,1,5195,,7,0,822,,97.83
48,Alberta,Alberta,12-03-2020,19,0,4109,,5,0,2140,,100
47,Saskatchewan,Saskatchewan,12-03-2020,0,0,285,,1,0,81,,100
46,Manitoba,Manitoba,12-03-2020,0,0,352,,1,0,0,,100
35,Ontario,Ontario,12-03-2020,59,1,4185,,17,0,791,,98.31
24,Quebec,Québec,12-03-2020,13,0,740,,6,0,184,,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,12-03-2020,0,0,52,,0,0,30,,
13,New Brunswick,Nouveau-Brunswick,12-03-2020,0,0,44,,1,0,0,,100
12,Nova Scotia,Nouvelle-Écosse,12-03-2020,0,0,182,,0,0,79,,
11,Prince Edward Island,Île-du-Prince-Édouard,12-03-2020,0,0,6,,0,0,0,,
60,Yukon,Yukon,12-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,12-03-2020,0,0,34,,0,0,34,,
62,Nunavut,Nunavut,12-03-2020,0,0,1,,0,0,1,,
99,Repatriated travellers,Voyageurs rapatriés,12-03-2020,1,0,29,,0,0,0,,100
1,Canada,Canada,12-03-2020,138,2,15185,,38,0,4162,,98.58
59,British Columbia,Colombie-Britannique,13-03-2020,53,1,5195,,7,0,0,,98.11
48,Alberta,Alberta,13-03-2020,23,0,4109,,4,0,0,,100
47,Saskatchewan,Saskatchewan,13-03-2020,0,0,285,,0,0,0,,100
46,Manitoba,Manitoba,13-03-2020,1,0,352,,2,0,0,,100
35,Ontario,Ontario,13-03-2020,79,1,4185,,20,0,0,,98.73
24,Quebec,Québec,13-03-2020,17,0,740,,4,0,0,,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,13-03-2020,0,0,52,,0,0,0,,
13,New Brunswick,Nouveau-Brunswick,13-03-2020,1,0,44,,0,0,0,,100
12,Nova Scotia,Nouvelle-Écosse,13-03-2020,0,0,182,,0,0,0,,
11,Prince Edward Island,Île-du-Prince-Édouard,13-03-2020,0,0,6,,0,0,0,,
60,Yukon,Yukon,13-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,13-03-2020,0,0,34,,0,0,0,,
62,Nunavut,Nunavut,13-03-2020,0,0,1,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,13-03-2020,2,0,29,,1,0,0,,100
1,Canada,Canada,13-03-2020,176,2,15185,,38,0,0,,98.88
59,British Columbia,Colombie-Britannique,14-03-2020,64,1,7033,,11,0,1838,,98.44
48,Alberta,Alberta,14-03-2020,29,0,5247,,6,0,1138,,100
47,Saskatchewan,Saskatchewan,14-03-2020,0,0,349,,1,0,64,,100
46,Manitoba,Manitoba,14-03-2020,1,0,837,,1,0,485,,100
35,Ontario,Ontario,14-03-2020,79,1,6646,,0,0,2461,,98.73
24,Quebec,Québec,14-03-2020,17,0,1584,,0,0,844,,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,14-03-2020,0,0,62,,0,0,10,,
13,New Brunswick,Nouveau-Brunswick,14-03-2020,1,0,82,,1,0,38,,100
12,Nova Scotia,Nouvelle-Écosse,14-03-2020,0,0,481,,0,0,299,,
11,Prince Edward Island,Île-du-Prince-Édouard,14-03-2020,0,0,6,,0,0,0,,
60,Yukon,Yukon,14-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,14-03-2020,0,0,76,,0,0,42,,
62,Nunavut,Nunavut,14-03-2020,0,0,6,,0,0,5,,
99,Repatriated travellers,Voyageurs rapatriés,14-03-2020,2,0,29,,0,0,0,,100
1,Canada,Canada,14-03-2020,193,2,22409,,20,0,7224,,98.99
59,British Columbia,Colombie-Britannique,15-03-2020,73,1,7033,,9,0,0,,98.63
48,Alberta,Alberta,15-03-2020,39,0,5247,,10,0,0,,100
47,Saskatchewan,Saskatchewan,15-03-2020,0,0,349,,0,0,0,,100
46,Manitoba,Manitoba,15-03-2020,4,0,837,,0,0,0,,100
35,Ontario,Ontario,15-03-2020,103,1,8461,,24,0,1815,,99.03
24,Quebec,Québec,15-03-2020,24,0,2337,,7,0,753,,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,15-03-2020,0,0,62,,1,0,0,,100
13,New Brunswick,Nouveau-Brunswick,15-03-2020,1,0,82,,0,0,0,,100
12,Nova Scotia,Nouvelle-Écosse,15-03-2020,0,0,481,,0,0,0,,
11,Prince Edward Island,Île-du-Prince-Édouard,15-03-2020,1,0,6,,1,0,0,,100
60,Yukon,Yukon,15-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,15-03-2020,0,0,76,,0,0,0,,
62,Nunavut,Nunavut,15-03-2020,0,0,6,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,15-03-2020,4,0,29,,2,0,0,,100
1,Canada,Canada,15-03-2020,249,2,24977,,54,0,2568,,99.21
59,British Columbia,Colombie-Britannique,16-03-2020,73,4,9926,,0,3,2893,,94.52
48,Alberta,Alberta,16-03-2020,56,0,10238,,17,0,4991,,100
47,Saskatchewan,Saskatchewan,16-03-2020,1,0,881,,4,0,532,,100
46,Manitoba,Manitoba,16-03-2020,4,0,1848,,3,0,1011,,100
35,Ontario,Ontario,16-03-2020,145,1,10178,,42,0,1717,,99.31
24,Quebec,Québec,16-03-2020,39,0,3129,,15,0,792,,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16-03-2020,0,0,161,,0,0,99,,100
13,New Brunswick,Nouveau-Brunswick,16-03-2020,1,0,143,,4,0,61,,100
12,Nova Scotia,Nouvelle-Écosse,16-03-2020,0,0,1075,,3,0,594,,100
11,Prince Edward Island,Île-du-Prince-Édouard,16-03-2020,1,0,6,,0,0,0,,100
60,Yukon,Yukon,16-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,16-03-2020,0,0,138,,0,0,62,,
62,Nunavut,Nunavut,16-03-2020,0,0,7,,0,0,1,,
99,Repatriated travellers,Voyageurs rapatriés,16-03-2020,4,0,29,,0,0,0,,100
1,Canada,Canada,16-03-2020,324,5,37730,,88,3,12753,,98.53
59,British Columbia,Colombie-Britannique,17-03-2020,103,7,11612,,30,3,1686,,93.2
48,Alberta,Alberta,17-03-2020,74,0,11487,,18,0,1249,,100
47,Saskatchewan,Saskatchewan,17-03-2020,2,0,1066,,1,0,185,,100
46,Manitoba,Manitoba,17-03-2020,7,0,2216,,0,0,368,,100
35,Ontario,Ontario,17-03-2020,177,1,11167,,32,0,989,,99.44
24,Quebec,Québec,17-03-2020,50,0,4870,,11,0,1741,,100
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,17-03-2020,0,0,161,,0,0,0,,100
13,New Brunswick,Nouveau-Brunswick,17-03-2020,2,0,295,,1,0,152,,100
12,Nova Scotia,Nouvelle-Écosse,17-03-2020,0,0,1075,,2,0,0,,100
11,Prince Edward Island,Île-du-Prince-Édouard,17-03-2020,1,0,75,,0,0,69,,100
60,Yukon,Yukon,17-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,17-03-2020,0,0,145,,0,0,7,,
62,Nunavut,Nunavut,17-03-2020,0,0,7,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,17-03-2020,8,0,29,,4,0,0,,100
1,Canada,Canada,17-03-2020,424,8,44176,,99,3,6446,,98.18
59,British Columbia,Colombie-Britannique,18-03-2020,186,7,13388,,83,0,1776,,96.24
48,Alberta,Alberta,18-03-2020,97,0,13686,,23,0,2199,,100
47,Saskatchewan,Saskatchewan,18-03-2020,2,0,1910,,1,0,844,,100
46,Manitoba,Manitoba,18-03-2020,8,0,2739,,8,0,523,,100
35,Ontario,Ontario,18-03-2020,189,1,13869,,12,0,2702,,99.47
24,Quebec,Québec,18-03-2020,74,1,5880,,24,1,1010,,98.65
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,18-03-2020,0,0,161,,2,0,0,,100
13,New Brunswick,Nouveau-Brunswick,18-03-2020,2,0,408,,1,0,113,,100
12,Nova Scotia,Nouvelle-Écosse,18-03-2020,1,0,1278,,2,0,203,,100
11,Prince Edward Island,Île-du-Prince-Édouard,18-03-2020,1,0,75,,0,0,0,,100
60,Yukon,Yukon,18-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,18-03-2020,0,0,145,,0,0,0,,
62,Nunavut,Nunavut,18-03-2020,0,0,7,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,18-03-2020,9,0,29,,1,0,0,,100
1,Canada,Canada,18-03-2020,569,9,53546,,157,1,9370,,98.49
59,British Columbia,Colombie-Britannique,19-03-2020,271,8,16382,,85,1,2994,,97.05
48,Alberta,Alberta,19-03-2020,146,1,16507,,49,1,2821,,99.32
47,Saskatchewan,Saskatchewan,19-03-2020,8,0,1910,,12,0,0,,100
46,Manitoba,Manitoba,19-03-2020,17,0,3189,,2,0,450,,100
35,Ontario,Ontario,19-03-2020,258,2,18488,,69,1,4619,,99.22
24,Quebec,Québec,19-03-2020,121,1,6757,,47,0,877,,99.17
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,19-03-2020,1,0,267,,0,0,106,,100
13,New Brunswick,Nouveau-Brunswick,19-03-2020,7,0,527,,3,0,119,,100
12,Nova Scotia,Nouvelle-Écosse,19-03-2020,5,0,1520,,7,0,242,,100
11,Prince Edward Island,Île-du-Prince-Édouard,19-03-2020,2,0,75,,1,0,0,,100
60,Yukon,Yukon,19-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,19-03-2020,0,0,221,,0,0,76,,
62,Nunavut,Nunavut,19-03-2020,0,0,8,,0,0,1,,
99,Repatriated travellers,Voyageurs rapatriés,19-03-2020,10,0,29,,1,0,0,,100
1,Canada,Canada,19-03-2020,846,12,65851,,276,3,12305,,98.63
59,British Columbia,Colombie-Britannique,20-03-2020,271,9,18792,,0,1,2410,,96.68
48,Alberta,Alberta,20-03-2020,195,1,19782,,49,0,3275,,99.49
47,Saskatchewan,Saskatchewan,20-03-2020,8,0,1910,,6,0,0,,100
46,Manitoba,Manitoba,20-03-2020,17,0,3367,,0,0,178,,100
35,Ontario,Ontario,20-03-2020,311,2,21499,,53,0,3011,,99.36
24,Quebec,Québec,20-03-2020,139,1,8539,,18,0,1782,,99.28
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20-03-2020,3,0,287,,1,0,20,,100
13,New Brunswick,Nouveau-Brunswick,20-03-2020,7,0,640,,0,0,113,,100
12,Nova Scotia,Nouvelle-Écosse,20-03-2020,5,0,1647,,1,0,127,,100
11,Prince Edward Island,Île-du-Prince-Édouard,20-03-2020,2,0,75,,0,0,0,,100
60,Yukon,Yukon,20-03-2020,0,0,0,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,20-03-2020,0,0,268,,0,0,47,,
62,Nunavut,Nunavut,20-03-2020,0,0,8,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,20-03-2020,13,0,29,,3,0,0,,100
1,Canada,Canada,20-03-2020,971,13,76814,,131,1,10963,,98.71
59,British Columbia,Colombie-Britannique,21-03-2020,424,10,20417,,153,1,1625,,97.64
48,Alberta,Alberta,21-03-2020,226,1,23060,,31,0,3278,,99.56
47,Saskatchewan,Saskatchewan,21-03-2020,25,0,3807,,18,0,1897,,100
46,Manitoba,Manitoba,21-03-2020,11,0,3668,,2,0,301,,100
35,Ontario,Ontario,21-03-2020,377,3,25470,,66,1,3971,,99.2
24,Quebec,Québec,21-03-2020,202,4,8539,,82,3,0,,98.19
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,21-03-2020,3,0,299,,2,0,12,,100
13,New Brunswick,Nouveau-Brunswick,21-03-2020,9,0,865,,6,0,225,,100
12,Nova Scotia,Nouvelle-Écosse,21-03-2020,9,0,1956,,6,0,309,,100
11,Prince Edward Island,Île-du-Prince-Édouard,21-03-2020,2,0,75,,0,0,0,,100
60,Yukon,Yukon,21-03-2020,0,0,416,,0,0,416,,
61,Northwest Territories,Territoires du Nord-Ouest,21-03-2020,1,0,301,,1,0,33,,100
62,Nunavut,Nunavut,21-03-2020,0,0,10,,0,0,2,,
99,Repatriated travellers,Voyageurs rapatriés,21-03-2020,13,0,29,,0,0,0,,100
1,Canada,Canada,21-03-2020,1302,18,88883,,367,5,12069,,98.69
59,British Columbia,Colombie-Britannique,22-03-2020,424,10,22135,,0,0,1718,,97.64
48,Alberta,Alberta,22-03-2020,259,1,26999,,33,0,3939,,99.61
47,Saskatchewan,Saskatchewan,22-03-2020,33,0,4407,,8,0,600,,100
46,Manitoba,Manitoba,22-03-2020,11,0,3936,,0,0,268,,100
35,Ontario,Ontario,22-03-2020,425,5,28570,,48,2,3100,,98.82
24,Quebec,Québec,22-03-2020,221,4,8539,,0,0,0,,98.19
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,22-03-2020,3,0,299,,3,0,0,,100
13,New Brunswick,Nouveau-Brunswick,22-03-2020,9,0,924,,0,0,59,,100
12,Nova Scotia,Nouvelle-Écosse,22-03-2020,28,0,2210,,7,0,254,,100
11,Prince Edward Island,Île-du-Prince-Édouard,22-03-2020,3,0,75,,1,0,0,,100
60,Yukon,Yukon,22-03-2020,0,0,416,,0,0,0,,
61,Northwest Territories,Territoires du Nord-Ouest,22-03-2020,1,0,301,,0,0,0,,100
62,Nunavut,Nunavut,22-03-2020,0,0,13,,0,0,3,,
99,Repatriated travellers,Voyageurs rapatriés,22-03-2020,13,0,29,,0,0,0,,100
1,Canada,Canada,22-03-2020,1430,20,98824,,100,2,9941,,98.64
59,British Columbia,Colombie-Britannique,23-03-2020,472,13,23460,,48,3,1325,,97.25
48,Alberta,Alberta,23-03-2020,301,1,29757,,42,0,2758,,99.67
47,Saskatchewan,Saskatchewan,23-03-2020,65,0,5130,,14,0,723,,100
46,Manitoba,Manitoba,23-03-2020,11,0,4133,,1,0,197,,100
35,Ontario,Ontario,23-03-2020,503,6,30688,,78,1,2118,,98.81
24,Quebec,Québec,23-03-2020,221,4,8539,,407,0,0,,99.36
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,23-03-2020,4,0,894,,15,0,595,,100
13,New Brunswick,Nouveau-Brunswick,23-03-2020,9,0,1139,,0,0,215,,100
12,Nova Scotia,Nouvelle-Écosse,23-03-2020,41,0,2408,,13,0,198,,100
11,Prince Edward Island,Île-du-Prince-Édouard,23-03-2020,3,0,206,,0,0,131,,100
60,Yukon,Yukon,23-03-2020,2,0,416,,0,0,0,,100
61,Northwest Territories,Territoires du Nord-Ouest,23-03-2020,1,0,364,,0,0,63,,100
62,Nunavut,Nunavut,23-03-2020,0,0,13,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,23-03-2020,13,0,76,,0,0,47,,100
1,Canada,Canada,23-03-2020,1646,24,107147,,620,4,8323,,98.85
59,British Columbia,Colombie-Britannique,24-03-2020,617,13,26305,,145,0,2845,,97.89
48,Alberta,Alberta,24-03-2020,358,2,32776,,57,1,3019,,99.44
47,Saskatchewan,Saskatchewan,24-03-2020,72,0,5604,,6,0,474,,100
46,Manitoba,Manitoba,24-03-2020,11,0,4406,,1,0,273,,100
35,Ontario,Ontario,24-03-2020,588,8,34727,,85,2,4039,,98.64
24,Quebec,Québec,24-03-2020,221,4,15071,,385,0,6532,,99.61
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,24-03-2020,4,0,1087,,11,0,193,,100
13,New Brunswick,Nouveau-Brunswick,24-03-2020,18,0,1261,,1,0,122,,100
12,Nova Scotia,Nouvelle-Écosse,24-03-2020,51,0,2641,,10,0,233,,100
11,Prince Edward Island,Île-du-Prince-Édouard,24-03-2020,3,0,206,,0,0,0,,100
60,Yukon,Yukon,24-03-2020,2,0,416,,0,0,0,,100
61,Northwest Territories,Territoires du Nord-Ouest,24-03-2020,1,0,481,,0,0,117,,100
62,Nunavut,Nunavut,24-03-2020,0,0,81,,0,0,68,,
99,Repatriated travellers,Voyageurs rapatriés,24-03-2020,13,0,76,,0,0,0,,100
1,Canada,Canada,24-03-2020,1959,27,125062,,701,3,17915,,99.03
59,British Columbia,Colombie-Britannique,25-03-2020,659,14,28344,,42,1,2039,,97.88
48,Alberta,Alberta,25-03-2020,419,2,35508,,61,0,2732,,99.52
47,Saskatchewan,Saskatchewan,25-03-2020,86,0,6111,,14,0,507,,100
46,Manitoba,Manitoba,25-03-2020,11,0,4740,,14,0,334,,100
35,Ontario,Ontario,25-03-2020,688,13,38040,,100,5,3313,,98.11
24,Quebec,Québec,25-03-2020,1339,6,27828,,326,2,12757,,99.55
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,25-03-2020,67,0,1235,,32,0,148,,100
13,New Brunswick,Nouveau-Brunswick,25-03-2020,26,0,1680,,8,0,419,,100
12,Nova Scotia,Nouvelle-Écosse,25-03-2020,68,0,3008,,17,0,367,,100
11,Prince Edward Island,Île-du-Prince-Édouard,25-03-2020,5,0,301,,2,0,95,,100
60,Yukon,Yukon,25-03-2020,3,0,416,,0,0,0,,100
61,Northwest Territories,Territoires du Nord-Ouest,25-03-2020,1,0,481,,0,0,0,,100
62,Nunavut,Nunavut,25-03-2020,0,0,97,,0,0,16,,
99,Repatriated travellers,Voyageurs rapatriés,25-03-2020,13,0,76,,0,0,0,,100
1,Canada,Canada,25-03-2020,3385,35,147789,,617,8,22727,,98.97
59,British Columbia,Colombie-Britannique,26-03-2020,725,14,30238,186,66,0,1894,186,72.41
48,Alberta,Alberta,26-03-2020,486,2,36600,27,67,0,1092,27,94.03
47,Saskatchewan,Saskatchewan,26-03-2020,95,0,6729,3,9,0,618,3,96.84
46,Manitoba,Manitoba,26-03-2020,11,0,5429,1,1,0,689,1,97.22
35,Ontario,Ontario,26-03-2020,858,15,41217,8,170,2,3177,8,97.32
24,Quebec,Québec,26-03-2020,1629,8,33311,2,290,2,5483,2,99.39
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,26-03-2020,82,0,1447,,15,0,212,,100
13,New Brunswick,Nouveau-Brunswick,26-03-2020,33,0,1849,,7,0,169,,100
12,Nova Scotia,Nouvelle-Écosse,26-03-2020,73,0,3417,2,5,0,409,2,97.26
11,Prince Edward Island,Île-du-Prince-Édouard,26-03-2020,9,0,353,1,4,0,52,1,88.89
60,Yukon,Yukon,26-03-2020,3,0,416,,0,0,0,,100
61,Northwest Territories,Territoires du Nord-Ouest,26-03-2020,1,0,481,,0,0,0,,100
62,Nunavut,Nunavut,26-03-2020,0,0,116,,0,0,19,,
99,Repatriated travellers,Voyageurs rapatriés,26-03-2020,13,0,76,,0,0,0,,100
1,Canada,Canada,26-03-2020,4018,39,161603,230,634,4,13814,230,93.35
59,British Columbia,Colombie-Britannique,27-03-2020,725,14,31536,186,0,0,1298,0,72.41
48,Alberta,Alberta,27-03-2020,542,2,38215,27,56,0,1615,0,94.65
47,Saskatchewan,Saskatchewan,27-03-2020,104,0,7360,3,9,0,631,0,97.12
46,Manitoba,Manitoba,27-03-2020,25,1,6022,1,3,1,593,0,94.87
35,Ontario,Ontario,27-03-2020,993,18,43651,8,135,3,2434,0,97.38
24,Quebec,Québec,27-03-2020,2021,18,34356,29,392,10,1045,27,97.67
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,27-03-2020,102,0,1684,,20,0,237,,100
13,New Brunswick,Nouveau-Brunswick,27-03-2020,45,0,2179,1,12,0,330,1,97.78
12,Nova Scotia,Nouvelle-Écosse,27-03-2020,90,0,3946,2,17,0,529,0,97.78
11,Prince Edward Island,Île-du-Prince-Édouard,27-03-2020,11,0,422,1,2,0,69,0,90.91
60,Yukon,Yukon,27-03-2020,3,0,603,,0,0,187,,100
61,Northwest Territories,Territoires du Nord-Ouest,27-03-2020,1,0,545,,0,0,64,,100
62,Nunavut,Nunavut,27-03-2020,0,0,125,,0,0,9,,
99,Repatriated travellers,Voyageurs rapatriés,27-03-2020,13,0,76,,0,0,0,,100
1,Canada,Canada,27-03-2020,4675,53,170644,256,646,14,9041,26,93.41
59,British Columbia,Colombie-Britannique,28-03-2020,884,16,31536,396,159,2,0,210,53.39
48,Alberta,Alberta,28-03-2020,542,2,38215,53,0,0,0,26,89.85
47,Saskatchewan,Saskatchewan,28-03-2020,134,0,8009,3,30,0,649,0,97.76
46,Manitoba,Manitoba,28-03-2020,25,1,6931,1,25,0,909,0,96.88
35,Ontario,Ontario,28-03-2020,993,18,45836,8,0,0,2185,0,97.38
24,Quebec,Québec,28-03-2020,2498,22,46087,29,477,4,11731,0,97.96
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,28-03-2020,120,0,1907,4,18,0,223,4,96.67
13,New Brunswick,Nouveau-Brunswick,28-03-2020,51,0,2512,2,6,0,333,1,96.08
12,Nova Scotia,Nouvelle-Écosse,28-03-2020,110,0,4487,4,20,0,541,2,96.36
11,Prince Edward Island,Île-du-Prince-Édouard,28-03-2020,11,0,422,1,0,0,0,0,90.91
60,Yukon,Yukon,28-03-2020,4,0,641,,0,0,38,,100
61,Northwest Territories,Territoires du Nord-Ouest,28-03-2020,1,0,740,,0,0,195,,100
62,Nunavut,Nunavut,28-03-2020,0,0,125,,0,0,0,,
99,Repatriated travellers,Voyageurs rapatriés,28-03-2020,13,0,76,,0,0,0,,100
1,Canada,Canada,28-03-2020,5386,59,187448,502,736,6,16804,246,89.66
59,British Columbia,Colombie-Britannique,29-03-2020,884,17,33476,396,0,1,1940,0,53.28
48,Alberta,Alberta,29-03-2020,621,2,44097,73,79,0,5882,20,87.92
47,Saskatchewan,Saskatchewan,29-03-2020,134,0,8822,4,0,0,813,1,97.01
46,Manitoba,Manitoba,29-03-2020,69,1,7876,1,8,0,945,0,97.22
35,Ontario,Ontario,29-03-2020,1355,19,52002,8,362,1,6166,0,98.01
24,Quebec,Québec,29-03-2020,2840,22,52204,29,342,0,6117,0,98.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,29-03-2020,135,0,2107,4,15,0,200,0,97.04
13,New Brunswick,Nouveau-Brunswick,29-03-2020,66,0,2847,2,15,0,335,0,96.97
12,Nova Scotia,Nouvelle-Écosse,29-03-2020,122,0,4984,4,12,0,497,0,96.72
11,Prince Edward Island,Île-du-Prince-Édouard,29-03-2020,11,0,477,1,0,0,55,0,90.91
60,Yukon,Yukon,29-03-2020,4,0,678,,0,0,37,,100
61,Northwest Territories,Territoires du Nord-Ouest,29-03-2020,1,0,740,,0,0,0,,100
